,material_id,formula_pretty,formation_energy,third_element
298,mp-10903,AlPt,-0.931691824999999,Pt
299,mp-10889,La3Al,-0.1804172762499999,La
300,mp-10908,AlRe,-0.010417802500001,Re
301,mp-10871,AlAu,-0.243343154999999,Au
302,mp-11222,Sm3Al,-0.172885286249999,Sm
303,mp-11221,SmAl,-0.3698222925,Sm
304,mp-11226,Tb3Al,-0.183917055,Tb
305,mp-11229,YAl,-0.414905573333332,Y
306,mp-1183162,AlFe3,-0.198893174999999,Fe
307,mp-1183170,AlBi3,0.231929007499999,Bi
308,mp-1183143,AlPd3,-0.609834542499999,Pd
309,mp-1184060,Dy3Al,-0.185832909999999,Dy
310,mp-11843,DyAl,-0.391768139999999,Dy
311,mp-1184840,K3Al,0.323437977749999,K
312,mp-1185427,Lu3Al,-0.194178669999999,Lu
313,mp-12067,MnAl,-0.224589803965517,Mn
314,mp-12793,NdAl,-0.350256053749999,Nd
315,mp-1487,AlNi,-0.658839995,Ni
316,mp-1471,Zr3Al,-0.3023103925,Zr
317,mp-1885,AlIr,-0.95897769,Ir
318,mp-188,AlPt3,-0.680455552499999,Pt
319,mp-2093,Pr3Al,-0.160078226249999,Pr
320,mp-2413,Ce3Al,-0.160783316249999,Ce
321,mp-2658,AlFe,-0.326887014999999,Fe
322,mp-2593,AlNi3,-0.434095464999999,Ni
323,mp-30338,Y3Al,-0.185728435,Y
324,mp-284,AlCo,-0.611476527499999,Co
325,mp-364,AlRh,-1.088971894999999,Rh
326,mp-331,ScAl,-0.446748522499999,Sc
327,mp-542569,AlRu,-0.673470949999999,Ru
328,mp-829,AlPd,-0.8754367199999991,Pd
329,mp-875,AlOs,-0.400838405,Os
330,mp-975530,RbAl,0.6585364362499999,Rb
331,mp-976358,Nd3Al,-0.164401230624999,Nd
332,mp-978271,Mg3Al,-0.0007729625,Mg
333,mp-978498,Sc3Al,-0.2475604737499999,Sc
334,mp-1387,AlV3,-0.134243914999999,V
335,mp-259,AlMo3,-0.244098936250001,Mo
336,mp-796,Nb3Al,-0.173785791249999,Nb
337,mp-1039010,MgAl,0.44593492,Mg
338,mp-1094666,Mg3Al,0.048304697499999,Mg
339,mp-12777,AlCu3,-0.164553905,no_return
340,mp-2018,AlFe3,-0.197061949999999,Fe
341,mp-672232,AlNi3,-0.387186297499999,Ni
342,mp-973149,Mn3Al,-0.067146928448276,Mn
343,mp-974270,Na3Al,0.180173110086206,Na
344,mp-975052,Rb3Al,0.353391119374999,Rb
345,mp-999027,Ti3Al,-0.160474054999999,Ti
346,mp-1067,LiAl,-0.177638716666666,Li
347,mp-1208015,Tm4Al,0.525189673666667,Tm
348,mp-1207806,Y4Al,0.461816787666666,Y
349,mp-1209964,Nd4Al,0.461171335,Nd
350,mp-1208483,Sr4Al,0.325384822666666,Sr
351,mp-1209724,Pr4Al,0.452476809,Pr
352,mp-1208467,Tb4Al,0.504298796999999,Tb
353,mp-1208890,Sm4Al,0.482608676999999,Sm
354,mp-1209129,Sc4Al,0.52081285,Sc
355,mp-1210553,Lu4Al,0.5339541710000001,Lu
356,mp-1210792,Li2Al,0.165921979444444,Li
357,mp-1211397,La4Al,0.409842159,La
358,mp-1212293,Ho4Al,0.513178365,Ho
359,mp-1212928,Er4Al,0.515566591999999,Er
360,mp-1213330,Eu4Al,0.329401378,Eu
361,mp-1212899,Dy4Al,0.509238779999999,Dy
362,mp-1214044,Ca4Al,0.340177647,Ca
363,mp-1214528,Ba4Al,0.303417706,Ba
364,mp-31184,AlFe2,-0.104844841666666,Fe
365,mp-568171,Nd2Al,0.367232601666666,Nd
366,mp-1016233,Mg3Al,0.027685149999999,Mg
367,mp-1094987,MgAl,0.02938279,Mg
368,mp-16960,AlPt2,-0.852405863333332,Pt
369,mp-1188420,HoAl,-0.413957343125,Ho
370,mp-11225,TbAl,-0.416178166249999,Tb
371,mp-16721,TmAl,-0.407967587083333,Tm
372,mp-16507,LuAl,-0.400283709375,Lu
373,mp-1106232,PrAl,-0.38312375,Pr
374,mp-1188739,ErAl,-0.41187016625,Er
375,mp-433,DyAl,-0.415626045625,Dy
